Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,Doyle,N Doyle,N.,,,,,,,,,Pupil,7,5,,,,,,,,
,Doyle,S Doyle,S.,,,,,,,,,Pupil,7,5,,,,,,,,
,Dunlop,C V Dunlop,C.V.,,,,,,,,,Pupil,7,5,,,,,,,,
,Duval,F Duval,F.,,,,,,,,,Pupil,7,5,,,,,,,,
,Edwards,A Edwards,A.,,,,,,,,,Pupil,7,5,,,,,,,,
,Eland,C B Eland,C.B.,,,,,,,,,Pupil,7,5,,,,,,,,
,Eldershaw,G M Eldershaw,G.M.,,,,,,,,,Pupil,7,5,,,,,,,,
,Ellison,N Ellison,N.,,,,,,,,,Pupil,7,5,,,,,,,,
,Emmett,R Emmett,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Etherington,R Etherington,R.,,,,,,,,,Pupil,7,5,,,,,,,,
,Ewart,A Ewart,A.,,,,,,,,,Pupil,7,5,,,,,,,,
